Nome:  Kyan Dominguez, Nota: 5.10, Situacao: Reprovado
Nome:  Marvin Rojas, Nota: 4.00, Situacao: Reprovado
Nome:  Frederick Hester, Nota: 9.30, Situacao: Aprovado
Nome:  Charlie Cooke, Nota: 1.20, Situacao: Reprovado
Nome:  Davon Meyer, Nota: 4.20, Situacao: Reprovado
Nome:  Judith Cain, Nota: 6.90, Situacao: Reprovado
Nome:  Daniel Fitzpatrick, Nota: 4.70, Situacao: Reprovado
Nome:  Brett Vaughn, Nota: 7.50, Situacao: Aprovado
Nome:  Nathalia Little, Nota: 3.20, Situacao: Reprovado
Nome:  Curtis Trevino, Nota: 9.40, Situacao: Aprovado
Nome:  Siena Adkins, Nota: 8.80, Situacao: Aprovado
Nome:  Conner Dunlap, Nota: 7.20, Situacao: Aprovado
Nome:  Mara Wang, Nota: 4.90, Situacao: Reprovado
Nome:  Abdullah Wyatt, Nota: 0.30, Situacao: Reprovado
Nome:  Vance Fritz, Nota: 3.90, Situacao: Reprovado
Nome:  Madilyn Conley, Nota: 4.80, Situacao: Reprovado
Nome:  Esther Galvan, Nota: 7.60, Situacao: Aprovado
Nome:  Catalina Gregory, Nota: 4.00, Situacao: Reprovado
Nome:  Demarion Edwards, Nota: 0.20, Situacao: Reprovado
Nome:  Kadence Ferguson, Nota: 1.50, Situacao: Reprovado
Nome:  Dahlia Baxter, Nota: 6.40, Situacao: Reprovado
Nome:  Jaylyn Sullivan, Nota: 5.50, Situacao: Reprovado
Nome:  Johnathan Moses, Nota: 0.10, Situacao: Reprovado
Nome:  Briana Alvarez, Nota: 4.40, Situacao: Reprovado
Nome:  Sabrina Hutchinson, Nota: 1.30, Situacao: Reprovado
Nome:  Pranav Parsons, Nota: 4.30, Situacao: Reprovado
Nome:  Mckinley Miles, Nota: 0.80, Situacao: Reprovado
Nome:  Taryn Jennings, Nota: 0.30, Situacao: Reprovado
Nome:  Ty Beltran, Nota: 3.20, Situacao: Reprovado
Nome:  Brittany Mckee, Nota: 8.70, Situacao: Aprovado
Nome:  Jonah Todd, Nota: 7.80, Situacao: Aprovado
Nome:  Samuel Potts, Nota: 5.00, Situacao: Reprovado
Nome:  Isaac Wright, Nota: 2.10, Situacao: Reprovado
Nome:  Kendal Arellano, Nota: 3.70, Situacao: Reprovado
Nome:  Luna House, Nota: 8.50, Situacao: Aprovado
Nome:  Adelaide Glover, Nota: 5.10, Situacao: Reprovado
Nome:  Gideon Ford, Nota: 6.60, Situacao: Reprovado
Nome:  Macie Harmon, Nota: 1.10, Situacao: Reprovado
Nome:  Isai Holland, Nota: 7.10, Situacao: Aprovado
Nome:  Gaige Li, Nota: 4.20, Situacao: Reprovado
Nome:  Elaine Haas, Nota: 2.90, Situacao: Reprovado
Nome:  Daphne Crosby, Nota: 6.90, Situacao: Reprovado
Nome:  Aileen Ellison, Nota: 9.20, Situacao: Aprovado
Nome:  Josh Small, Nota: 9.80, Situacao: Aprovado
Nome:  Paxton Garrison, Nota: 0.10, Situacao: Reprovado
Nome:  Briana Ramsey, Nota: 4.00, Situacao: Reprovado
Nome:  Jacqueline Gomez, Nota: 9.50, Situacao: Aprovado
Nome:  Clay Maxwell, Nota: 2.10, Situacao: Reprovado
Nome:  Isabela Herrera, Nota: 0.00, Situacao: Reprovado
Nome:  Anika Rodgers, Nota: 5.20, Situacao: Reprovado
Nome:  Lorelei Campbell, Nota: 9.60, Situacao: Aprovado
Nome:  Lea Tapia, Nota: 1.50, Situacao: Reprovado
Nome:  Aliana Benitez, Nota: 0.40, Situacao: Reprovado
Nome:  Kali Brewer, Nota: 4.80, Situacao: Reprovado
Nome:  Ansley Li, Nota: 9.10, Situacao: Aprovado
Nome:  Abril Valentine, Nota: 6.90, Situacao: Reprovado
Nome:  Tyrell Jarvis, Nota: 7.10, Situacao: Aprovado
Nome:  Macie Hawkins, Nota: 3.30, Situacao: Reprovado
Nome:  Brodie Kline, Nota: 7.60, Situacao: Aprovado
Nome:  Dakota Fritz, Nota: 0.40, Situacao: Reprovado
Nome:  Lina Sparks, Nota: 5.30, Situacao: Reprovado
Nome:  Abdullah Mooney, Nota: 4.30, Situacao: Reprovado
Nome:  Aniyah Ryan, Nota: 0.80, Situacao: Reprovado
Nome:  Jaelynn Garcia, Nota: 0.90, Situacao: Reprovado
Nome:  Kamora Hickman, Nota: 6.10, Situacao: Reprovado
Nome:  Humberto Mckay, Nota: 7.40, Situacao: Aprovado
Nome:  Malakai Coleman, Nota: 8.00, Situacao: Aprovado
Nome:  Jeffery Brady, Nota: 2.30, Situacao: Reprovado
Nome:  Celia Fields, Nota: 7.10, Situacao: Aprovado
Nome:  Dwayne Foster, Nota: 5.90, Situacao: Reprovado
Nome:  Terrence Morton, Nota: 4.10, Situacao: Reprovado
Nome:  Deegan Maynard, Nota: 8.60, Situacao: Aprovado
Nome:  Dwayne Mckenzie, Nota: 4.30, Situacao: Reprovado
Nome:  Macy Lozano, Nota: 4.50, Situacao: Reprovado
Nome:  Anika Blake, Nota: 4.50, Situacao: Reprovado
Nome:  Byron Best, Nota: 2.00, Situacao: Reprovado
Nome:  Weston Lawrence, Nota: 3.10, Situacao: Reprovado
Nome:  Felipe Orozco, Nota: 4.60, Situacao: Reprovado
Nome:  Tony Briggs, Nota: 3.80, Situacao: Reprovado
Nome:  Sonny Mcguire, Nota: 5.50, Situacao: Reprovado
Nome:  Keagan Cooley, Nota: 7.20, Situacao: Aprovado
Nome:  Martha Santana, Nota: 2.50, Situacao: Reprovado
Nome:  Gwendolyn Hawkins, Nota: 8.80, Situacao: Aprovado
Nome:  Evie Guerra, Nota: 7.40, Situacao: Aprovado
Nome:  Erika Franco, Nota: 1.40, Situacao: Reprovado
Nome:  Nora Henderson, Nota: 8.80, Situacao: Aprovado
Nome:  Oswaldo Murillo, Nota: 6.20, Situacao: Reprovado
Nome:  Maria Jenkins, Nota: 8.00, Situacao: Aprovado
Nome:  Jayla Schaefer, Nota: 8.10, Situacao: Aprovado
Nome:  Gemma Zavala, Nota: 2.70, Situacao: Reprovado
Nome:  Julissa Knight, Nota: 4.50, Situacao: Reprovado
Nome:  Marquise Simon, Nota: 5.90, Situacao: Reprovado
Nome:  Zavier Floyd, Nota: 3.70, Situacao: Reprovado
Nome:  Harmony Franklin, Nota: 2.40, Situacao: Reprovado
Nome:  Kathryn Weeks, Nota: 2.10, Situacao: Reprovado
Nome:  Elisa Ellison, Nota: 5.40, Situacao: Reprovado
Nome:  Adrianna Stout, Nota: 3.70, Situacao: Reprovado
Nome:  Lacey Walls, Nota: 2.10, Situacao: Reprovado
Nome:  Alyson Hooper, Nota: 9.00, Situacao: Aprovado
Nome:  Trinity Dorsey, Nota: 1.10, Situacao: Reprovado
Nome:  Jillian Ray, Nota: 4.10, Situacao: Reprovado
Nome:  Lauren Miller, Nota: 8.50, Situacao: Aprovado
Nome:  Jordan Mckenzie, Nota: 6.20, Situacao: Reprovado
Nome:  Zara Gonzales, Nota: 2.10, Situacao: Reprovado
Nome:  Killian Stanley, Nota: 6.10, Situacao: Reprovado
Nome:  Alana Crosby, Nota: 7.90, Situacao: Aprovado
Nome:  Carson Johns, Nota: 9.80, Situacao: Aprovado
Nome:  Giselle Becker, Nota: 1.20, Situacao: Reprovado
Nome:  Rohan Davenport, Nota: 4.00, Situacao: Reprovado
Nome:  Cheyenne Neal, Nota: 4.40, Situacao: Reprovado
Nome:  Asia Garrett, Nota: 2.10, Situacao: Reprovado
Nome:  Justin Velasquez, Nota: 1.90, Situacao: Reprovado
Nome:  Barrett Henry, Nota: 0.90, Situacao: Reprovado
Nome:  Brooklynn Travis, Nota: 3.20, Situacao: Reprovado
Nome:  Hazel Meyer, Nota: 8.70, Situacao: Aprovado
Nome:  Chloe Nielsen, Nota: 8.70, Situacao: Aprovado
Nome:  Jordin Rosales, Nota: 3.60, Situacao: Reprovado
Nome:  Maddox Collier, Nota: 7.50, Situacao: Aprovado
Nome:  Aubrey Watkins, Nota: 3.80, Situacao: Reprovado
Nome:  Sarai Rush, Nota: 2.90, Situacao: Reprovado
Nome:  Ronald Swanson, Nota: 1.50, Situacao: Reprovado
Nome:  Anika Dougherty, Nota: 3.60, Situacao: Reprovado
Nome:  Karma House, Nota: 1.10, Situacao: Reprovado
Nome:  Jaliyah Tanner, Nota: 0.80, Situacao: Reprovado
Nome:  Avery Woodard, Nota: 9.30, Situacao: Aprovado
Nome:  Daniel Arias, Nota: 2.90, Situacao: Reprovado
Nome:  Case Pena, Nota: 4.00, Situacao: Reprovado
Nome:  Olivia Moody, Nota: 4.30, Situacao: Reprovado
Nome:  Rayan Poole, Nota: 10.00, Situacao: Aprovado
Nome:  Sloane Stevenson, Nota: 5.10, Situacao: Reprovado
Nome:  Alyvia Rosales, Nota: 2.20, Situacao: Reprovado
Nome:  Karissa Acevedo, Nota: 2.30, Situacao: Reprovado
Nome:  Kailey Barrera, Nota: 7.40, Situacao: Aprovado
Nome:  Brylee Terry, Nota: 1.70, Situacao: Reprovado
Nome:  Haleigh Wolf, Nota: 7.90, Situacao: Aprovado
Nome:  Aden Pierce, Nota: 3.60, Situacao: Reprovado
Nome:  Blaze Barker, Nota: 3.90, Situacao: Reprovado
Nome:  Kaylie Choi, Nota: 3.40, Situacao: Reprovado
Nome:  Isaiah Miles, Nota: 9.10, Situacao: Aprovado
Nome:  Erika Bean, Nota: 7.90, Situacao: Aprovado
Nome:  Penelope Sheppard, Nota: 4.30, Situacao: Reprovado
Nome:  Peyton Waller, Nota: 1.30, Situacao: Reprovado
Nome:  Jamarcus Norton, Nota: 3.50, Situacao: Reprovado
Nome:  Leonard Wolfe, Nota: 6.10, Situacao: Reprovado
Nome:  Zaria Wilson, Nota: 9.50, Situacao: Aprovado
Nome:  Sarah Zimmerman, Nota: 4.80, Situacao: Reprovado
Nome:  Harley Hughes, Nota: 9.40, Situacao: Aprovado
Nome:  Brennen Oconnell, Nota: 7.50, Situacao: Aprovado
Nome:  Eve Avery, Nota: 2.80, Situacao: Reprovado
Nome:  Joselyn Nicholson, Nota: 6.40, Situacao: Reprovado
Nome:  Greta Williamson, Nota: 8.40, Situacao: Aprovado
Nome:  Jessica Reyes, Nota: 4.60, Situacao: Reprovado
Nome:  Ramon Prince, Nota: 1.10, Situacao: Reprovado
Nome:  Maurice Miller, Nota: 7.20, Situacao: Aprovado
Nome:  Owen Ochoa, Nota: 5.80, Situacao: Reprovado
Nome:  Drew Hawkins, Nota: 1.80, Situacao: Reprovado
Nome:  Cristal Garza, Nota: 4.40, Situacao: Reprovado
Nome:  Lukas Farrell, Nota: 1.20, Situacao: Reprovado
Nome:  Priscilla Miller, Nota: 2.70, Situacao: Reprovado
Nome:  Avery Haynes, Nota: 1.20, Situacao: Reprovado
Nome:  Whitney Cabrera, Nota: 6.60, Situacao: Reprovado
Nome:  Penelope Andrews, Nota: 4.00, Situacao: Reprovado
Nome:  Bridger Shepherd, Nota: 7.10, Situacao: Aprovado
Nome:  Piper Hunter, Nota: 9.40, Situacao: Aprovado
Nome:  Alexzander Foley, Nota: 8.50, Situacao: Aprovado
Nome:  Caitlyn Chase, Nota: 3.30, Situacao: Reprovado
Nome:  Marin Cowan, Nota: 7.60, Situacao: Aprovado
Nome:  Aliza Nichols, Nota: 9.90, Situacao: Aprovado
Nome:  Aleah Mullins, Nota: 9.70, Situacao: Aprovado
Nome:  Chelsea Mccullough, Nota: 7.40, Situacao: Aprovado
Nome:  Jasper Hurst, Nota: 5.60, Situacao: Reprovado
Nome:  Ivy Greer, Nota: 5.00, Situacao: Reprovado
Nome:  Teresa Hardy, Nota: 7.10, Situacao: Aprovado
Nome:  Tyshawn Randall, Nota: 8.20, Situacao: Aprovado
Nome:  Martin Marshall, Nota: 1.40, Situacao: Reprovado
Nome:  Dominic Collins, Nota: 0.50, Situacao: Reprovado
Nome:  Gabriella Flores, Nota: 8.00, Situacao: Aprovado
Nome:  Ray Schroeder, Nota: 4.90, Situacao: Reprovado
Nome:  Isaiah Bailey, Nota: 0.10, Situacao: Reprovado
Nome:  Mohammad Glass, Nota: 9.00, Situacao: Aprovado
Nome:  Macey Ortiz, Nota: 6.10, Situacao: Reprovado
Nome:  Rhianna Ramirez, Nota: 6.00, Situacao: Reprovado
Nome:  Fletcher Chaney, Nota: 0.80, Situacao: Reprovado
Nome:  Aleena Oconnor, Nota: 3.60, Situacao: Reprovado
Nome:  Houston Woods, Nota: 7.10, Situacao: Aprovado
Nome:  Gaven Dillon, Nota: 5.20, Situacao: Reprovado
Nome:  Benjamin Haley, Nota: 6.40, Situacao: Reprovado
Nome:  Kamari Massey, Nota: 8.50, Situacao: Aprovado
Nome:  Arely Cardenas, Nota: 3.00, Situacao: Reprovado
Nome:  Caylee Kerr, Nota: 8.20, Situacao: Aprovado
Nome:  Kailyn Hull, Nota: 8.60, Situacao: Aprovado
Nome:  Cohen Burton, Nota: 7.60, Situacao: Aprovado
Nome:  Todd Gill, Nota: 1.70, Situacao: Reprovado
Nome:  Rogelio Matthews, Nota: 6.70, Situacao: Reprovado
Nome:  Cassandra Nichols, Nota: 2.60, Situacao: Reprovado
Nome:  Cesar Curtis, Nota: 9.10, Situacao: Aprovado
Nome:  Yoselin Jenkins, Nota: 0.70, Situacao: Reprovado
Nome:  Adalynn Bradshaw, Nota: 6.70, Situacao: Reprovado
Nome:  Benjamin Foster, Nota: 8.00, Situacao: Aprovado
Nome:  Antony Mays, Nota: 5.80, Situacao: Reprovado
Nome:  Valeria Decker, Nota: 2.10, Situacao: Reprovado
Nome:  Nico Yates, Nota: 6.70, Situacao: Reprovado
Nome:  Catalina Buchanan, Nota: 1.40, Situacao: Reprovado
Nome:  June Henry, Nota: 8.60, Situacao: Aprovado
Nome:  Enzo Avila, Nota: 7.20, Situacao: Aprovado
Nome:  Heidy Cooke, Nota: 3.60, Situacao: Reprovado
Nome:  Brooke Meyer, Nota: 3.20, Situacao: Reprovado
Nome:  Barbara Meadows, Nota: 5.50, Situacao: Reprovado
Nome:  Donald Camacho, Nota: 7.70, Situacao: Aprovado
Nome:  Madden Whitney, Nota: 1.70, Situacao: Reprovado
Nome:  Ayaan Bradshaw, Nota: 9.10, Situacao: Aprovado
Nome:  Issac Middleton, Nota: 1.10, Situacao: Reprovado
Nome:  Reynaldo Moses, Nota: 2.50, Situacao: Reprovado
Nome:  Nico Kelly, Nota: 2.30, Situacao: Reprovado
Nome:  Julissa Spence, Nota: 5.40, Situacao: Reprovado
Nome:  Brennan Knox, Nota: 8.70, Situacao: Aprovado
Nome:  Isaias Clay, Nota: 6.40, Situacao: Reprovado
Nome:  Braelyn Gill, Nota: 9.40, Situacao: Aprovado
Nome:  Cecelia Saunders, Nota: 9.60, Situacao: Aprovado
Nome:  Wayne Copeland, Nota: 3.10, Situacao: Reprovado
Nome:  Jamir Holloway, Nota: 0.60, Situacao: Reprovado
Nome:  Johan Griffith, Nota: 9.80, Situacao: Aprovado
Nome:  Joe Carr, Nota: 6.00, Situacao: Reprovado
Nome:  Cierra Sweeney, Nota: 2.70, Situacao: Reprovado
Nome:  Zoe Griffith, Nota: 10.00, Situacao: Aprovado
Nome:  Alonso Conley, Nota: 1.60, Situacao: Reprovado
Nome:  Alivia Welch, Nota: 6.10, Situacao: Reprovado
Nome:  Romeo Bernard, Nota: 0.60, Situacao: Reprovado
Nome:  Asher Goodman, Nota: 8.40, Situacao: Aprovado
Nome:  Evangeline Patrick, Nota: 0.60, Situacao: Reprovado
Nome:  Ansley Weaver, Nota: 5.90, Situacao: Reprovado
Nome:  Zander Ortega, Nota: 3.50, Situacao: Reprovado
Nome:  Gillian Martinez, Nota: 6.10, Situacao: Reprovado
Nome:  Zaid Zamora, Nota: 8.40, Situacao: Aprovado
Nome:  Clarence Branch, Nota: 7.80, Situacao: Aprovado
Nome:  Arjun Knapp, Nota: 7.40, Situacao: Aprovado
Nome:  Fernanda Stevenson, Nota: 0.90, Situacao: Reprovado
Nome:  Ruth Dean, Nota: 1.20, Situacao: Reprovado
Nome:  Ruben Liu, Nota: 0.40, Situacao: Reprovado
Nome:  Kimberly Boyd, Nota: 9.40, Situacao: Aprovado
Nome:  Shiloh Clark, Nota: 6.80, Situacao: Reprovado
Nome:  Kassidy Watts, Nota: 3.70, Situacao: Reprovado
Nome:  Britney Kirby, Nota: 3.40, Situacao: Reprovado
Nome:  Jamari Horne, Nota: 4.40, Situacao: Reprovado
Nome:  Viviana Kane, Nota: 2.40, Situacao: Reprovado
Nome:  Faith Lang, Nota: 6.60, Situacao: Reprovado
Nome:  Maverick Miranda, Nota: 1.10, Situacao: Reprovado
Nome:  Alvin Powell, Nota: 6.10, Situacao: Reprovado
Nome:  Cheyenne Austin, Nota: 2.50, Situacao: Reprovado
Nome:  Brendon Mills, Nota: 2.20, Situacao: Reprovado
Nome:  Hunter Romero, Nota: 1.20, Situacao: Reprovado
Nome:  Yosef Preston, Nota: 0.80, Situacao: Reprovado
Nome:  Ashly Raymond, Nota: 4.10, Situacao: Reprovado
Nome:  Essence York, Nota: 7.40, Situacao: Aprovado
Nome:  Angelica Dyer, Nota: 3.60, Situacao: Reprovado
Nome:  Emmalee Byrd, Nota: 3.60, Situacao: Reprovado
Nome:  Nash Shannon, Nota: 2.80, Situacao: Reprovado
Nome:  Krystal Fields, Nota: 7.20, Situacao: Aprovado
Nome:  Karla Calderon, Nota: 4.70, Situacao: Reprovado
Nome:  Ingrid Russell, Nota: 6.00, Situacao: Reprovado
Nome:  Grant Singh, Nota: 7.80, Situacao: Aprovado
Nome:  Nick Shields, Nota: 8.70, Situacao: Aprovado
Nome:  Miranda Edwards, Nota: 1.90, Situacao: Reprovado
Nome:  Jordin Coleman, Nota: 3.50, Situacao: Reprovado
Nome:  Brylee Boyle, Nota: 3.50, Situacao: Reprovado
Nome:  Lexi Costa, Nota: 9.80, Situacao: Aprovado
Nome:  Jimmy Farley, Nota: 5.10, Situacao: Reprovado
Nome:  Kasey Bradley, Nota: 2.90, Situacao: Reprovado
Nome:  Jovanni Hensley, Nota: 5.90, Situacao: Reprovado
Nome:  Leticia Payne, Nota: 9.80, Situacao: Aprovado
Nome:  Addison Lloyd, Nota: 8.40, Situacao: Aprovado
Nome:  Mylee Duke, Nota: 7.90, Situacao: Aprovado
Nome:  Jensen Erickson, Nota: 9.80, Situacao: Aprovado
Nome:  Nyasia Sutton, Nota: 9.50, Situacao: Aprovado
Nome:  Gavin Ramsey, Nota: 9.60, Situacao: Aprovado
Nome:  Claudia Evans, Nota: 2.40, Situacao: Reprovado
Nome:  Ronin Skinner, Nota: 7.80, Situacao: Aprovado
Nome:  Amara Zamora, Nota: 5.30, Situacao: Reprovado
Nome:  Leilani Gallagher, Nota: 0.50, Situacao: Reprovado
Nome:  Armando Mcgrath, Nota: 0.00, Situacao: Reprovado
Nome:  Amina Shannon, Nota: 5.20, Situacao: Reprovado
Nome:  Keegan Summers, Nota: 6.00, Situacao: Reprovado
Nome:  Eric Rice, Nota: 6.00, Situacao: Reprovado
Nome:  Angelina Harper, Nota: 9.50, Situacao: Aprovado
Nome:  Katherine Robles, Nota: 2.30, Situacao: Reprovado
Nome:  Kamari Massey, Nota: 7.60, Situacao: Aprovado
Nome:  Jeramiah Bell, Nota: 3.80, Situacao: Reprovado
Nome:  Jordan Marsh, Nota: 5.20, Situacao: Reprovado
Nome:  Denise Ortiz, Nota: 8.10, Situacao: Aprovado
Nome:  Devin Michael, Nota: 2.30, Situacao: Reprovado
Nome:  Daphne Erickson, Nota: 4.20, Situacao: Reprovado
Nome:  Marcus Willis, Nota: 0.20, Situacao: Reprovado
Nome:  Kayla Barnes, Nota: 6.80, Situacao: Reprovado
Nome:  Joel Hendricks, Nota: 0.50, Situacao: Reprovado
Nome:  Sam Collier, Nota: 0.90, Situacao: Reprovado
Nome:  Melina Dorsey, Nota: 3.80, Situacao: Reprovado
Nome:  Kendall Nixon, Nota: 2.60, Situacao: Reprovado
Nome:  Mariah Logan, Nota: 8.60, Situacao: Aprovado
Nome:  Boston Alvarez, Nota: 2.70, Situacao: Reprovado
Nome:  Brenton Oconnell, Nota: 9.50, Situacao: Aprovado
Nome:  Mila Carlson, Nota: 1.70, Situacao: Reprovado
Nome:  Dante Franco, Nota: 3.90, Situacao: Reprovado
Nome:  Mohammad Rowland, Nota: 6.80, Situacao: Reprovado
Nome:  Dominic Cuevas, Nota: 5.00, Situacao: Reprovado
Nome:  Amari Hayes, Nota: 7.80, Situacao: Aprovado
Nome:  Jennifer Foster, Nota: 8.10, Situacao: Aprovado
Nome:  Aliya Hughes, Nota: 2.90, Situacao: Reprovado
Nome:  Jamison Huffman, Nota: 1.50, Situacao: Reprovado
Nome:  Jase Chung, Nota: 2.10, Situacao: Reprovado
Nome:  Tripp Carson, Nota: 0.50, Situacao: Reprovado
Nome:  Kellen Garrison, Nota: 0.60, Situacao: Reprovado
Nome:  King Gamble, Nota: 2.50, Situacao: Reprovado
Nome:  Houston Gregory, Nota: 1.30, Situacao: Reprovado
Nome:  Jaydon Boyer, Nota: 3.80, Situacao: Reprovado
Nome:  Hillary Ochoa, Nota: 7.90, Situacao: Aprovado
Nome:  Fisher Hurley, Nota: 0.10, Situacao: Reprovado
Nome:  Charlee Patterson, Nota: 5.30, Situacao: Reprovado
Nome:  Allie Oneill, Nota: 2.40, Situacao: Reprovado
Nome:  Abel Boyer, Nota: 3.20, Situacao: Reprovado
Nome:  Nyla Bird, Nota: 0.10, Situacao: Reprovado
Nome:  Levi Mcbride, Nota: 0.20, Situacao: Reprovado
Nome:  Haiden Wood, Nota: 6.20, Situacao: Reprovado
Nome:  Michael Ochoa, Nota: 9.30, Situacao: Aprovado
Nome:  Aliza Byrd, Nota: 0.90, Situacao: Reprovado
Nome:  Jeremiah Mcgee, Nota: 4.60, Situacao: Reprovado
Nome:  Gavin Ballard, Nota: 0.30, Situacao: Reprovado
Nome:  Shelby Trujillo, Nota: 1.70, Situacao: Reprovado
Nome:  Karlie Herring, Nota: 0.20, Situacao: Reprovado
Nome:  Callie Tanner, Nota: 8.20, Situacao: Aprovado
Nome:  Jimmy Dunn, Nota: 3.00, Situacao: Reprovado
Nome:  Zachariah Fowler, Nota: 9.10, Situacao: Aprovado
Nome:  Aldo Novak, Nota: 4.30, Situacao: Reprovado
Nome:  Kassidy Shea, Nota: 9.20, Situacao: Aprovado
Nome:  Paloma Dennis, Nota: 3.10, Situacao: Reprovado
Nome:  Madalynn Escobar, Nota: 9.30, Situacao: Aprovado
Nome:  Zachary Booth, Nota: 2.30, Situacao: Reprovado
Nome:  Reginald Osborne, Nota: 8.60, Situacao: Aprovado
Nome:  Camille Hopkins, Nota: 9.00, Situacao: Aprovado
Nome:  Sarai Bender, Nota: 7.80, Situacao: Aprovado
Nome:  Riya Glenn, Nota: 0.90, Situacao: Reprovado
